level,series,method,lead_months,n,correlation,rmse,mae,r2,slope,variance_ratio
AM-IMF,IMF4_AMIMF3,Strength component NN,9,129,0.993726796102089,0.041691976758325464,0.03407725431061746,0.9692999726888565,1.00211326134433,1.0169500383275232
AM-IMF,IMF4_AMIMF3,Strength component NN,12,129,0.9926600565036697,0.043541530852940304,0.03601852977726637,0.968397951722735,0.9940605182779025,1.0028236245888085
AM-IMF,IMF4_AMIMF4,Strength component NN,1,129,0.9999425790549439,0.017962398869354242,0.012922561886781569,0.9961424071951651,0.9508217303847356,0.9041657960996383
AM-IMF,IMF4_AMIMF4,Strength component NN,3,129,0.9998890507834786,0.03103590455139477,0.024055940637444137,0.988718294505574,0.9343484576988627,0.8732007915427544
AM-IMF,IMF4_AMIMF4,Strength component NN,6,129,0.99999080854878,0.02720522539025804,0.022085519707083362,0.991588773489451,0.9449631408579099,0.892971752917221
AM-IMF,IMF4_AMIMF4,Strength component NN,9,129,0.9999082037115589,0.0473888396365006,0.03587292734942201,0.975214998527324,0.8887653884345017,0.7900489561454574
AM-IMF,IMF4_AMIMF4,Strength component NN,12,129,0.99994320577154,0.05003647822369752,0.038777508842180806,0.9731432944621665,0.8944492884863303,0.8001304126717254
AM-IMF,IMF4_AMIMF5,Strength component NN,1,129,0.9993264490449627,0.003922046168914745,0.003251668095934327,0.9748770968099396,0.8825453911002676,0.7799366676925503
AM-IMF,IMF4_AMIMF5,Strength component NN,3,129,0.9992458569100396,0.004301724389127513,0.0036204744244326794,0.9713027799517284,0.9054820307763034,0.821135748754453
AM-IMF,IMF4_AMIMF5,Strength component NN,6,129,0.9994101581979905,0.0051791961505848584,0.004290714485012241,0.9614487838287669,0.8868657629433221,0.7874595606458683
AM-IMF,IMF4_AMIMF5,Strength component NN,9,129,0.9994021511486201,0.006027019715107395,0.004859944427232985,0.9515302551442646,0.8515723902834204,0.7260434048194747
AM-IMF,IMF4_AMIMF5,Strength component NN,12,129,0.9994860389003706,0.007757612737152518,0.006227637861784985,0.9253161081350131,0.8284141727691606,0.6869760180753043
AM-IMF,IMF5_AMIMF1,Strength component NN,1,129,0.9998315744795082,0.020115834131598172,0.017187950897962774,0.9973285668838247,0.9800643597091799,0.9608497851659494
AM-IMF,IMF5_AMIMF1,Strength component NN,3,129,0.9994406741604946,0.026564328708022947,0.02098738588160894,0.9952133885715836,0.9643079678258325,0.9309309530485972
AM-IMF,IMF5_AMIMF1,Strength component NN,6,129,0.9989143628751276,0.04045496758332741,0.0287516783239943,0.9888216486564809,0.9155456608320195,0.8400468390526563
AM-IMF,IMF5_AMIMF1,Strength component NN,9,129,0.9993183952368011,0.056467032867193824,0.04196130824733454,0.9791423319598072,0.8733747024234896,0.7638242684912816
AM-IMF,IMF5_AMIMF1,Strength component NN,12,129,0.9982837728496398,0.08161177547470942,0.06357811799175501,0.9604707741400493,0.8200407950854212,0.6747810732771276
AM-IMF,IMF5_AMIMF2,Strength component NN,1,129,0.9999310671563247,0.005364473655537377,0.004247119255886193,0.9994423919427328,0.9913554213435567,0.9829210778466876
AM-IMF,IMF5_AMIMF2,Strength component NN,3,129,0.9998960466043462,0.007337022727495322,0.0052494230382704255,0.9989864063525977,0.9817500297662889,0.9640335396484067
AM-IMF,IMF5_AMIMF2,Strength component NN,6,129,0.9998673901404356,0.011312360177787454,0.008085912869573221,0.9976921599694999,0.9699704057903935,0.9410921677601285
AM-IMF,IMF5_AMIMF2,Strength component NN,9,129,0.9995363600760407,0.015783923719508052,0.0110001145449711,0.9956987036036583,0.9604863434447134,0.9233900584430028
AM-IMF,IMF5_AMIMF2,Strength component NN,12,129,0.9991657552531289,0.02194125025729106,0.01533727570031328,0.9920492054184392,0.9437408595616265,0.8921347064970058
AM-IMF,IMF5_AMIMF3,Strength component NN,1,129,0.9054795716883222,0.003619935181850103,0.0031129690296454156,0.7010974922077697,1.1314939952326428,1.5615187145867204
AM-IMF,IMF5_AMIMF3,Strength component NN,3,129,0.883851313581485,0.003970839638927375,0.003419330811123811,0.6617344968665453,1.0860487708036948,1.509872354665096
AM-IMF,IMF5_AMIMF3,Strength component NN,6,129,0.8066125446171577,0.01111804196405801,0.009870108891884073,-1.3123140839438143,0.9530531807282936,1.3960607793593691
AM-IMF,IMF5_AMIMF3,Strength component NN,9,129,0.6969865920289651,0.006979717407579063,0.006008107525028849,0.24125186664583165,0.8248367529052703,1.4005130519959748
AM-IMF,IMF5_AMIMF3,Strength component NN,12,129,0.6328136930723882,0.008831222624957552,0.007332845010641049,0.021285520459558782,0.6811864546828197,1.1587247165036212
AM-IMF,IMF5_AMIMF4,Strength component NN,1,129,0.9999999004813207,0.0014182110181965974,0.0014178982393352648,0.9986390868755004,1.0006331891625941,1.0012669785432269
AM-IMF,IMF5_AMIMF4,Strength component NN,3,129,0.9999999661613712,0.002142698575175584,0.0020247010053398035,0.996908070076016,1.018196037908191,1.0367232417745202
AM-IMF,IMF5_AMIMF4,Strength component NN,6,129,0.9999999629075953,0.006562186262492893,0.006455424961908956,0.971201693313451,0.9695146484829932,0.9399587233537562
AM-IMF,IMF5_AMIMF4,Strength component NN,9,129,0.9999958074157737,0.001603723431485816,0.0015997628708825998,0.9982918738462951,0.9997885906317052,0.9995856076334603
AM-IMF,IMF5_AMIMF4,Strength component NN,12,129,0.9999992909198885,0.004231117443825712,0.004202170407124856,0.9881916063494827,1.0126319625981015,1.0254249458916347
AM-IMF,IMF6_AMIMF1,Strength component NN,1,129,0.9931237815282375,0.08249829402903008,0.057821628864974474,0.9834224519317686,0.9662584112089443,0.9466290141853142
AM-IMF,IMF6_AMIMF1,Strength component NN,3,129,0.9932166683240582,0.16502113367611157,0.12786178800830955,0.9314865213263669,1.1999078455001897,1.4595123935917937
AM-IMF,IMF6_AMIMF1,Strength component NN,6,129,0.9696843345232777,0.16112295413668776,0.12146084566728581,0.9308654401516783,0.9857772261915915,1.0334674491324853
AM-IMF,IMF6_AMIMF1,Strength component NN,9,129,0.9575703728307643,0.17392157928747556,0.1193759107182839,0.9140506413292234,0.9463955004213043,0.9767961349023906
AM-IMF,IMF6_AMIMF1,Strength component NN,12,129,0.9358675413914811,0.20496563566859757,0.1539721104885217,0.8720827306519245,0.8227563090293302,0.772882853549611
AM-IMF,IMF6_AMIMF2,Strength component NN,1,129,0.9999176794159154,0.01692078060896493,0.011013069518539757,0.9810750723034367,0.8840182885908053,0.7816170156047589
AM-IMF,IMF6_AMIMF2,Strength component NN,3,129,0.9999717817218834,0.021699636206467234,0.016410414221938577,0.9714450443347047,0.8896406881682039,0.7915052232431837
AM-IMF,IMF6_AMIMF2,Strength component NN,6,129,0.9999011665033395,0.026728945061884266,0.019263740124096543,0.961762784895264,0.8649882484100437,0.7483525871833756
AM-IMF,IMF6_AMIMF2,Strength component NN,9,129,0.9995116426028803,0.032960219675952925,0.031455150637283116,0.948436108212569,0.9388437020524488,0.882289031213416
AM-IMF,IMF6_AMIMF2,Strength component NN,12,129,0.9997474693760308,0.037874562748575855,0.03280490578862221,0.9393477842595325,0.8785074927177061,0.7721653563173154
AM-IMF,IMF6_AMIMF3,Strength component NN,1,129,0.9984006300006713,0.03637949304137857,0.03473250356028409,-0.580162090342764,0.6277454569624726,0.39532789865644263
AM-IMF,IMF6_AMIMF3,Strength component NN,3,129,0.9990842025473188,0.027563850415470367,0.02564158663298675,0.1286059860831379,0.6586704828769688,0.43464252952796095
AM-IMF,IMF6_AMIMF3,Strength component NN,6,129,0.9982054922360329,0.04045091708672184,0.038329102106720504,-0.7690122955126675,0.5763005222480039,0.3333175002590987
AM-IMF,IMF6_AMIMF3,Strength component NN,9,129,0.9966523668775348,0.060094164955434036,0.058531512881747204,-2.6853129621792218,0.5675630250761652,0.32429539719562767
AM-IMF,IMF6_AMIMF3,Strength component NN,12,129,0.9972222715425998,0.05131279768263005,0.04861049505557129,-1.5395955024176442,0.4909824216461062,0.2424085582968864
